region,Municipality,PM2.5,Distance to mines,Distance to roads,Precipitation,Temperature,Wind,Percentage of urban,Percentage of agriculture,Percentage of range land,Percentage forest,Percentage of barren land
Metropolitana de Santiago,San Pedro,13.1,32.6,1.6,455.3,16.2,2.4,13.0,34.0,41.3,37.9,14.9
Valparaiso,Rinconada,13.1,22.8,2.5,310.2,14.3,2.4,13.2,44.8,57.6,34.1,11.1
Antofagasta,San Pedro de Atacama,13.0,40.8,8.8,-0.6,8.3,4.7,0.0,14.0,72.5,12.7,69.5
Maule,Teno,12.9,57.9,2.1,916.9,12.9,2.1,13.0,59.3,22.2,46.3,16.9
Tarapaca,Alto Hospicio,12.9,23.5,4.2,206.6,16.3,3.6,23.6,0.0,12.5,11.1,93.1
Valparaiso,Limache,12.9,31.3,1.4,426.3,14.8,2.5,24.2,37.2,36.6,42.5,16.4
Valparaiso,Quillota,12.7,27.9,1.5,402.8,14.7,2.6,24.7,42.3,29.6,39.0,13.6
Valparaiso,Santa Maria,12.6,23.2,2.4,298.0,13.1,2.6,13.7,40.5,44.8,27.6,20.1
Valparaiso,Algarrobo,12.5,16.7,1.2,596.5,15.0,3.1,26.3,16.5,44.5,38.5,16.9
Valparaiso,Santo Domingo,12.4,32.0,1.7,507.1,16.4,3.0,16.6,26.9,44.2,30.6,13.0
Maule,Maule,12.4,90.3,0.8,813.5,14.0,2.0,18.4,60.7,24.4,23.0,13.6
Valparaiso,Valparaiso,12.3,11.3,2.1,584.9,14.3,3.1,29.8,14.3,25.4,62.3,11.1
Valparaiso,Calera,12.3,10.7,1.8,398.2,14.7,2.5,22.7,50.2,21.3,49.6,12.7
Libertador General Bernardo O'Higgins,Peralillo,12.2,13.3,1.1,665.2,15.5,2.0,13.1,69.0,22.4,30.3,20.7
Valparaiso,San Esteban,12.1,24.7,14.3,327.3,3.9,4.6,18.7,27.5,43.4,16.7,41.7
Valparaiso,Hijuelas,11.9,15.5,2.4,374.9,14.0,2.5,19.7,34.6,34.2,43.4,12.6
Valparaiso,Quilpue,11.9,23.8,2.8,496.0,13.8,2.6,28.6,16.3,37.9,59.6,14.5
Antofagasta,Calama,11.9,29.3,8.2,73.0,8.8,4.5,20.4,26.9,68.6,12.4,83.1
Libertador General Bernardo O'Higgins,La Estrella,11.9,29.0,1.2,551.0,15.9,2.3,12.4,41.5,47.7,22.6,19.9
Maule,Romeral,11.7,89.2,5.7,917.6,8.2,3.4,17.3,35.7,46.5,30.2,39.3
Libertador General Bernardo O'Higgins,Chepica,11.6,21.9,1.6,799.1,13.9,2.0,11.6,51.0,33.3,45.8,15.0
